company_id,company_name,legal_form,sector,region,size_category,founded_year,age_years,employees,revenues_mdl,assets_mdl,liabilities_mdl,equity_mdl,bank_borrowings_mdl,trade_payables_mdl,intercompany_loans_in_mdl,ebitda_margin,net_margin,interest_coverage,current_ratio,quick_ratio,working_capital_to_assets,retained_earnings_to_assets,roa,roe,sales_growth,probability_of_distress,distress_flag,network_out_degree,network_in_degree,out_exposure_total_mdl,in_exposure_total_mdl,contagion_index_equity_at_risk,vulnerability_bucket,top5_counterparty_share_out
CO100000,Compania M000 Anenii Noi SRL,SRL,M-Servicii profesionale,Dubăsari,Mijlocii,1996,29,122,28649827.43,20891615.86,13286013.57,7605602.29,7232417.22,1615741.03,729905.43,0.1955,0.1454,7.47,0.61,0.24,0.149,0.279,0.199,0.5,0.132,0.023,0,10,17,19081812.01,31675132.71,0.803,Ridicat,0.919
CO100001,Compania G001 Fălești SRL,SRL,G-Comerț cu ridicata&amănuntul,Soroca,Mari,2023,2,398,475308552.36,445378151.95,374120970.2,71257181.74,151216187.5,50437875.71,8599362.17,0.0974,-0.0058,2.6,1.12,0.51,0.121,-0.127,-0.006,-0.039,0.096,0.0065,0,10,13,21768549.96,30590156.36,0.118,Scăzut,0.878
CO100002,Compania F002 Șoldănești SRL,SRL,F-Construcții,Taraclia,Mijlocii,2013,12,112,6942830.49,7116879.49,3633624.28,3483255.21,1946407.24,806287.99,77681.16,0.191,0.2163,6.13,1.77,1.2,-0.027,0.268,0.211,0.431,-0.064,0.0043,0,5,8,1225852.65,13788474.77,0.088,Foarte scăzut,1.0
CO100003,Compania P003 Dondușeni II,II,P-Educație,Căușeni,Mijlocii,2009,16,112,13891178.46,10804446.17,8182284.93,2622161.24,4644293.56,2259598.58,668778.7,-0.05,-0.1355,0.0,2.18,1.92,0.143,0.053,-0.174,-0.5,0.389,0.0078,0,11,14,10376833.19,23590909.23,1.17,Ridicat,0.888
CO100004,Compania C004 Ungheni SRL,SRL,C-Industrie prelucrătoare,Briceni,Mici,2005,20,42,18369881.64,22514254.96,15894396.94,6619858.02,8528668.94,3485244.47,625020.25,0.2645,0.2353,4.47,0.75,0.92,-0.041,0.109,0.192,0.5,-0.148,0.0557,0,10,14,15389302.36,12033887.72,0.658,Moderat,0.837
CO100005,Compania H005 Hîncești SRL,SRL,H-Transport&Depozitare,Basarabeasca,Micro,1996,29,10,1133728.13,1146875.51,654963.93,491911.58,278299.43,114751.69,22283.14,0.1597,0.1109,8.97,1.48,1.17,0.104,0.343,0.11,0.256,0.296,0.008,0,17,11,15989029.12,13219255.37,8.814,Sever,0.646
CO100006,Compania A006 Rîșcani SRL,SRL,A-Agricultură,Cimișlia,Mici,1998,27,29,8839667.0,10837692.51,7880441.34,2957251.17,4505621.09,1903671.19,362553.34,0.0427,-0.0044,0.57,1.3,1.01,0.115,0.288,-0.004,-0.013,-0.214,0.102,0,9,9,15713814.93,8819748.79,1.901,Ridicat,0.967
CO100007,Compania G007 Telenești SRL,SRL,G-Comerț cu ridicata&amănuntul,Hîncești,Mari,2016,9,112,627083188.09,493447023.42,261437048.71,232009974.71,102755833.96,64424152.7,20786183.99,0.1348,0.054,11.12,1.75,1.18,0.196,0.48,0.069,0.146,-0.134,0.0002,0,11,8,25485293.37,7759719.59,0.057,Foarte scăzut,0.924
CO100008,Compania G008 Ocnița SRL,SRL,G-Comerț cu ridicata&amănuntul,Cimișlia,Micro,1992,33,7,2630603.29,2531644.7,1268827.99,1262816.71,768478.79,351840.25,62008.34,0.2693,0.1946,11.42,1.12,0.77,0.037,-0.042,0.202,0.405,0.023,0.0159,0,6,11,4114638.82,12160093.93,0.92,Ridicat,0.975
CO100009,Compania A009 Anenii Noi SRL,SRL,A-Agricultură,Anenii Noi,Mijlocii,2010,15,120,74014229.26,78049503.55,41833076.57,36216426.97,20499133.34,8706443.75,2470561.21,0.2497,0.1781,7.84,1.23,0.73,0.235,0.11,0.169,0.364,0.09,0.0015,0,11,5,48803412.32,8083105.62,0.34,Moderat,0.905
